Variable,Level,RMSE,MAE,BIAS,ACC,RelDiff (%),Pred_Min,Pred_Max,Ref_Min,Ref_Max
v,10000.0,5.3621439933776855,4.484212875366211,-2.9874043464660645,0.9480498433113098,1559.9237060546875,-59.087677001953125,54.8804817199707,-56.05247497558594,60.78742218017578
v,11500.0,5.5078535079956055,4.576038837432861,-2.5489919185638428,0.9454447627067566,716.7958984375,-53.45897674560547,50.90221405029297,-54.205841064453125,48.343780517578125
v,13000.0,5.208630561828613,4.254648685455322,-1.2665106058120728,0.9375764727592468,628.0992431640625,-48.776023864746094,58.64577865600586,-37.90436553955078,50.67583465576172
v,15000.0,4.716183185577393,3.794755458831787,-0.6807992458343506,0.9056344628334045,1072.1300048828125,-30.594430923461914,49.39823532104492,-25.83310317993164,39.2658805847168
v,17500.0,6.69262170791626,5.114767551422119,0.3154219090938568,0.7663096785545349,4312.630859375,-28.472057342529297,38.52498245239258,-23.465469360351562,28.411272048950195
v,20000.0,7.978671550750732,6.092703819274902,0.4707368314266205,0.5661945343017578,7795.7763671875,-32.17795944213867,37.217159271240234,-26.85340690612793,34.270233154296875
w,2.0,0.2888188064098358,0.18643119931221008,0.0008262074552476406,0.13841117918491364,3000.939453125,-2.6012747287750244,2.7263381481170654,-2.7972769737243652,4.0286664962768555
w,10.0,0.2878189980983734,0.1857215017080307,0.0007634194917045534,0.13964296877384186,2990.519775390625,-2.59018611907959,2.7126336097717285,-2.7972772121429443,4.027737617492676
w,20.0,0.28661641478538513,0.1848721206188202,0.0006877746782265604,0.14110469818115234,2978.855224609375,-2.576324939727783,2.6955013275146484,-2.7972772121429443,4.026576519012451
w,50.0,0.2833344340324402,0.18258006870746613,0.00047277321573346853,0.1449282467365265,2951.15576171875,-2.534742593765259,2.6440987586975098,-2.7972774505615234,4.023092746734619
w,75.0,0.28100138902664185,0.18095383048057556,0.00029688479844480753,0.14732614159584045,2936.228271484375,-2.5293853282928467,2.601243495941162,-2.7972772121429443,4.020190238952637
w,100.0,0.2790406346321106,0.17958010733127594,0.00012635225721169263,0.14908505976200104,2929.03955078125,-2.574934482574463,2.5583736896514893,-2.7972772121429443,4.017286777496338
w,150.0,0.2762877345085144,0.17763657867908478,-0.00020162781584076583,0.15097926557064056,2941.4443359375,-2.666104793548584,2.4725799560546875,-2.7972772121429443,4.011480808258057
w,200.0,0.2751525044441223,0.17676539719104767,-0.0005073742941021919,0.15120765566825867,2983.892822265625,-2.7573654651641846,2.386676788330078,-2.7972774505615234,4.005674362182617
w,300.0,0.27743276953697205,0.17777356505393982,-0.001059238682501018,0.14880500733852386,3136.5576171875,-2.940122127532959,2.2143023014068604,-2.9131247997283936,3.9940621852874756
w,400.0,0.2833481431007385,0.18043771386146545,-0.0015889869537204504,0.1472214162349701,3352.916748046875,-3.123138427734375,2.0409932136535645,-3.8960795402526855,4.170875549316406
w,500.0,0.2922074794769287,0.18416531383991241,-0.002092686714604497,0.14698223769664764,3635.729248046875,-3.3063242435455322,1.866843819618225,-4.879034519195557,4.353357791900635
